Gene	Datasets	Intersected	Size	Assay	Type	Weight
TUBAL3	1_Human;8_Human	2	11	In vitro	Cells	0.00273902281229783
DIAPH2	1_Human	1	11	In vitro	Cells	0.00102669404517454
IGFBP3	1_Human;10_Human	2	11	In vitro	Cells	0.00251478928326978
ARMC1	1_Human;10_Human	2	11	In vitro	Cells	0.00251478928326978
POLR2E	1_Human	1	11	In vitro	Cells	0.00102669404517454
OSTC	1_Human	1	11	In vitro	Cells	0.00102669404517454
TSPO	1_Human	1	11	In vitro	Cells	0.00102669404517454
PRPS1	1_Human	1	11	In vitro	Cells	0.00102669404517454
RHOC	1_Human	1	11	In vitro	Cells	0.00102669404517454
ISCU	1_Human	1	11	In vitro	Cells	0.00102669404517454
RPL34	1_Human;3_Human;5_Human;10_Human;11_Human	5	11	In vitro	Cells	0.0226944274191737
TMEM185A	1_Human	1	11	In vitro	Cells	0.00102669404517454
TMEM185B	1_Human	1	11	In vitro	Cells	0.00102669404517454
CNN2	1_Human;2_Human;5_Human;8_Human	4	11	In vitro	Cells	0.0129820479044193
MGMT	1_Human	1	11	In vitro	Cells	0.00102669404517454
ZDHHC20	1_Human	1	11	In vitro	Cells	0.00102669404517454
EIF1AX	1_Human;6_Human;10_Human	3	11	In vitro	Cells	0.00792019468867518
RBBP4	1_Human	1	11	In vitro	Cells	0.00102669404517454
EIF1	1_Human	1	11	In vitro	Cells	0.00102669404517454
EIF1B	1_Human	1	11	In vitro	Cells	0.00102669404517454
PES1	1_Human;4_Human	2	11	In vitro	Cells	0.00417134813322485
TPCN1	1_Human	1	11	In vitro	Cells	0.00102669404517454
GPM6B	1_Human	1	11	In vitro	Cells	0.00102669404517454
ITIH4	1_Human	1	11	In vitro	Cells	0.00102669404517454
TAX1BP1	1_Human	1	11	In vitro	Cells	0.00102669404517454
FLNA	1_Human;2_Human;11_Human	3	11	In vitro	Cells	0.0125312834770773
SRI	1_Human;11_Human	2	11	In vitro	Cells	0.00533703887276074
AARSD1	1_Human;10_Human	2	11	In vitro	Cells	0.00251478928326978
PTGES3L-AARSD1	1_Human	1	11	In vitro	Cells	0.00102669404517454
APTX	1_Human	1	11	In vitro	Cells	0.00102669404517454
SSR3	1_Human	1	11	In vitro	Cells	0.00102669404517454
APOD	1_Human	1	11	In vitro	Cells	0.00102669404517454
ITM2C	1_Human	1	11	In vitro	Cells	0.00102669404517454
ABHD14A-ACY1	1_Human	1	11	In vitro	Cells	0.00102669404517454
SLC4A7	1_Human	1	11	In vitro	Cells	0.00102669404517454
RPL32	1_Human;10_Human;11_Human	3	11	In vitro	Cells	0.00682513411085598
H3C14	1_Human;11_Human	2	11	In vitro	Cells	0.00533703887276074
H3C13	1_Human;11_Human	2	11	In vitro	Cells	0.00533703887276074
H3C15	1_Human;11_Human	2	11	In vitro	Cells	0.00533703887276074
H3-4	1_Human	1	11	In vitro	Cells	0.00102669404517454
BLOC1S1	1_Human	1	11	In vitro	Cells	0.00102669404517454
TMA7	1_Human	1	11	In vitro	Cells	0.00102669404517454
CYSTM1	1_Human	1	11	In vitro	Cells	0.00102669404517454
EBF1	1_Human	1	11	In vitro	Cells	0.00102669404517454
EBF2	1_Human	1	11	In vitro	Cells	0.00102669404517454
RPL35A	1_Human;5_Human;10_Human	3	11	In vitro	Cells	0.00556356977107465
STEEP1	1_Human	1	11	In vitro	Cells	0.00102669404517454
GDAP1	1_Human	1	11	In vitro	Cells	0.00102669404517454
HNRNPAB	1_Human;2_Human	2	11	In vitro	Cells	0.00822093864949108
PIGG	1_Human	1	11	In vitro	Cells	0.00102669404517454
TBCA	1_Human;11_Human	2	11	In vitro	Cells	0.00533703887276074
ANXA6	1_Human;4_Human;10_Human	3	11	In vitro	Cells	0.00565944337132009
NPC2	1_Human;3_Human;5_Human;10_Human	4	11	In vitro	Cells	0.0183840825915875
ELN	1_Human	1	11	In vitro	Cells	0.00102669404517454
COL6A3	1_Human	1	11	In vitro	Cells	0.00102669404517454
ACSL1	1_Human;5_Human;10_Human	3	11	In vitro	Cells	0.00556356977107465
NDUFV2	1_Human;8_Human;10_Human	3	11	In vitro	Cells	0.00422711805039306
STAU2	1_Human	1	11	In vitro	Cells	0.00102669404517454
NAA50	1_Human;10_Human	2	11	In vitro	Cells	0.00251478928326978
SDC2	1_Human	1	11	In vitro	Cells	0.00102669404517454
EIF4B	1_Human;11_Human	2	11	In vitro	Cells	0.00533703887276074
UBR7	1_Human	1	11	In vitro	Cells	0.00102669404517454
CAV1	1_Human	1	11	In vitro	Cells	0.00102669404517454
TSN	1_Human	1	11	In vitro	Cells	0.00102669404517454
MROH1	1_Human	1	11	In vitro	Cells	0.00102669404517454
HSPA8	1_Human;4_Human;7_Human;11_Human	4	11	In vitro	Cells	0.0121048813666082
NEDD8-MDP1	1_Human	1	11	In vitro	Cells	0.00102669404517454
MDP1	1_Human	1	11	In vitro	Cells	0.00102669404517454
NEDD8	1_Human	1	11	In vitro	Cells	0.00102669404517454
CD59	1_Human	1	11	In vitro	Cells	0.00102669404517454
NDUFS8	1_Human;4_Human	2	11	In vitro	Cells	0.00417134813322485
PDE4DIP	1_Human	1	11	In vitro	Cells	0.00102669404517454
LIN7A	1_Human	1	11	In vitro	Cells	0.00102669404517454
RAB6A	1_Human;8_Human;10_Human	3	11	In vitro	Cells	0.00422711805039306
DAD1	1_Human	1	11	In vitro	Cells	0.00102669404517454
SLC3A2	1_Human;7_Human	2	11	In vitro	Cells	0.00464988245097164
GRSF1	1_Human;7_Human	2	11	In vitro	Cells	0.00464988245097164
C17orf49	1_Human	1	11	In vitro	Cells	0.00102669404517454
RNASEK-C17orf49	1_Human	1	11	In vitro	Cells	0.00102669404517454
AK2	1_Human;2_Human;7_Human;11_Human	4	11	In vitro	Cells	0.0161544718828744
FAM162A	1_Human	1	11	In vitro	Cells	0.00102669404517454
TIA1	1_Human	1	11	In vitro	Cells	0.00102669404517454
IGF2BP2	1_Human;5_Human;8_Human;10_Human	4	11	In vitro	Cells	0.00727589853819794
PTCD1	1_Human	1	11	In vitro	Cells	0.00102669404517454
ATP5MF-PTCD1	1_Human	1	11	In vitro	Cells	0.00102669404517454
ATP5MF	1_Human	1	11	In vitro	Cells	0.00102669404517454
LTBP2	1_Human;3_Human;5_Human	3	11	In vitro	Cells	0.0168959873534922
DDX24	1_Human	1	11	In vitro	Cells	0.00102669404517454
ACTN1	1_Human;2_Human;7_Human	3	11	In vitro	Cells	0.0118441270552882
JAK1	1_Human	1	11	In vitro	Cells	0.00102669404517454
LAMB1	1_Human;6_Human;8_Human	3	11	In vitro	Cells	0.00814442821770323
HNRNPH1	1_Human;7_Human	2	11	In vitro	Cells	0.00464988245097164
COX7A2	1_Human;10_Human	2	11	In vitro	Cells	0.00251478928326978
DNPH1	1_Human;10_Human	2	11	In vitro	Cells	0.00251478928326978
RPS3A	1_Human;4_Human;10_Human;11_Human	4	11	In vitro	Cells	0.0099697881989063
HNRNPD	1_Human;2_Human;4_Human;7_Human	4	11	In vitro	Cells	0.0149887811433385
DGLUCY	1_Human	1	11	In vitro	Cells	0.00102669404517454
PABPC1	1_Human	1	11	In vitro	Cells	0.00102669404517454
C8orf82	1_Human	1	11	In vitro	Cells	0.00102669404517454
HADHA	1_Human;8_Human	2	11	In vitro	Cells	0.00273902281229783
RPS17	1_Human;4_Human	2	11	In vitro	Cells	0.00417134813322485
TMEM231	1_Human	1	11	In vitro	Cells	0.00102669404517454
GABARAP	1_Human	1	11	In vitro	Cells	0.00102669404517454
TPM1	1_Human;2_Human;8_Human;10_Human;11_Human	5	11	In vitro	Cells	0.0157317074822958
APOO	1_Human	1	11	In vitro	Cells	0.00102669404517454
MAP4	1_Human	1	11	In vitro	Cells	0.00102669404517454
GCOM1	1_Human	1	11	In vitro	Cells	0.00102669404517454
MYZAP	1_Human	1	11	In vitro	Cells	0.00102669404517454
CCS	1_Human	1	11	In vitro	Cells	0.00102669404517454
CEP290	1_Human	1	11	In vitro	Cells	0.00102669404517454
HDAC7	1_Human	1	11	In vitro	Cells	0.00102669404517454
STAT1	1_Human;4_Human;5_Human;8_Human	4	11	In vitro	Cells	0.00893245738815302
APOL2	1_Human;3_Human	2	11	In vitro	Cells	0.0138472068656874
SNRPB	1_Human	1	11	In vitro	Cells	0.00102669404517454
SNRPN	1_Human	1	11	In vitro	Cells	0.00102669404517454
CD151	1_Human	1	11	In vitro	Cells	0.00102669404517454
RPS15	1_Human;10_Human	2	11	In vitro	Cells	0.00251478928326978
SARS2	1_Human	1	11	In vitro	Cells	0.00102669404517454
RPS5	1_Human;2_Human;8_Human;11_Human	4	11	In vitro	Cells	0.0142436122442006
POLR2L	1_Human	1	11	In vitro	Cells	0.00102669404517454
H2BC26	1_Human	1	11	In vitro	Cells	0.00102669404517454
DDX39A	1_Human	1	11	In vitro	Cells	0.00102669404517454
PDLIM1	1_Human;2_Human;5_Human;11_Human	4	11	In vitro	Cells	0.0155800639648822
AIP	1_Human	1	11	In vitro	Cells	0.00102669404517454
ATOX1	1_Human	1	11	In vitro	Cells	0.00102669404517454
HIP1	1_Human;5_Human	2	11	In vitro	Cells	0.00407547453297942
EEF2K	1_Human	1	11	In vitro	Cells	0.00102669404517454
HMGN4	1_Human;11_Human	2	11	In vitro	Cells	0.00533703887276074
NDUFA4	1_Human	1	11	In vitro	Cells	0.00102669404517454
PSMD14	1_Human;10_Human	2	11	In vitro	Cells	0.00251478928326978
VWA5A	1_Human	1	11	In vitro	Cells	0.00102669404517454
MPHOSPH10	1_Human	1	11	In vitro	Cells	0.00102669404517454
CCN1	1_Human;3_Human;8_Human;11_Human	4	11	In vitro	Cells	0.0198698804603969
PLPP3	1_Human	1	11	In vitro	Cells	0.00102669404517454
SDHD	1_Human	1	11	In vitro	Cells	0.00102669404517454
TXNDC9	1_Human	1	11	In vitro	Cells	0.00102669404517454
COX7A2L	1_Human	1	11	In vitro	Cells	0.00102669404517454
CDIPT	1_Human;4_Human	2	11	In vitro	Cells	0.00417134813322485
PDCD5	1_Human;10_Human	2	11	In vitro	Cells	0.00251478928326978
TPP1	1_Human	1	11	In vitro	Cells	0.00102669404517454
MGST3	1_Human	1	11	In vitro	Cells	0.00102669404517454
HAT1	1_Human;10_Human	2	11	In vitro	Cells	0.00251478928326978
UQCRQ	1_Human	1	11	In vitro	Cells	0.00102669404517454
ARPC3	1_Human	1	11	In vitro	Cells	0.00102669404517454
PGRMC2	1_Human;11_Human	2	11	In vitro	Cells	0.00533703887276074
LAMA5	1_Human	1	11	In vitro	Cells	0.00102669404517454
SPTLC1	1_Human	1	11	In vitro	Cells	0.00102669404517454
PPM1G	1_Human;10_Human	2	11	In vitro	Cells	0.00251478928326978
TLR3	1_Human	1	11	In vitro	Cells	0.00102669404517454
P4HA2	1_Human;2_Human	2	11	In vitro	Cells	0.00822093864949108
ARPC5	1_Human;2_Human	2	11	In vitro	Cells	0.00822093864949108
COPB2	1_Human	1	11	In vitro	Cells	0.00102669404517454
RRP8	1_Human	1	11	In vitro	Cells	0.00102669404517454
CYB5B	1_Human	1	11	In vitro	Cells	0.00102669404517454
NDUFS4	1_Human;10_Human	2	11	In vitro	Cells	0.00251478928326978
EEF1E1-BLOC1S5	1_Human	1	11	In vitro	Cells	0.00102669404517454
EEF1E1	1_Human	1	11	In vitro	Cells	0.00102669404517454
TPD52L2	1_Human;4_Human	2	11	In vitro	Cells	0.00417134813322485
SPRY2	1_Human	1	11	In vitro	Cells	0.00102669404517454
TSPAN6	1_Human	1	11	In vitro	Cells	0.00102669404517454
NDUFA2	1_Human	1	11	In vitro	Cells	0.00102669404517454
RRP9	1_Human	1	11	In vitro	Cells	0.00102669404517454
NRDC	1_Human;4_Human;10_Human	3	11	In vitro	Cells	0.00565944337132009
CALU	1_Human;7_Human;10_Human	3	11	In vitro	Cells	0.00613797768906688
TPST1	1_Human	1	11	In vitro	Cells	0.00102669404517454
NMT2	1_Human	1	11	In vitro	Cells	0.00102669404517454
GREM1	1_Human;10_Human	2	11	In vitro	Cells	0.00251478928326978
PLIN3	1_Human	1	11	In vitro	Cells	0.00102669404517454
UGDH	1_Human;4_Human;7_Human	3	11	In vitro	Cells	0.00779453653902195
PQBP1	1_Human;10_Human;11_Human	3	11	In vitro	Cells	0.00682513411085598
BUD31	1_Human	1	11	In vitro	Cells	0.00102669404517454
HIP1R	1_Human;8_Human	2	11	In vitro	Cells	0.00273902281229783
SH3BGRL	1_Human	1	11	In vitro	Cells	0.00102669404517454
FLNB	1_Human	1	11	In vitro	Cells	0.00102669404517454
NDUFS6	1_Human	1	11	In vitro	Cells	0.00102669404517454
PEX14	1_Human	1	11	In vitro	Cells	0.00102669404517454
MTX2	1_Human	1	11	In vitro	Cells	0.00102669404517454
NDUFB1	1_Human;6_Human	2	11	In vitro	Cells	0.00643209945057994
LYPLA1	1_Human;10_Human	2	11	In vitro	Cells	0.00251478928326978
CRTAP	1_Human	1	11	In vitro	Cells	0.00102669404517454
SLC25A12	1_Human	1	11	In vitro	Cells	0.00102669404517454
RBBP9	1_Human	1	11	In vitro	Cells	0.00102669404517454
DCTN3	1_Human	1	11	In vitro	Cells	0.00102669404517454
ATP5PD	1_Human	1	11	In vitro	Cells	0.00102669404517454
CPD	1_Human;6_Human	2	11	In vitro	Cells	0.00643209945057994
SEC14L2	1_Human;5_Human;6_Human;10_Human	4	11	In vitro	Cells	0.0109689751764801
PDE5A	1_Human	1	11	In vitro	Cells	0.00102669404517454
MTA2	1_Human	1	11	In vitro	Cells	0.00102669404517454
SORBS2	1_Human;5_Human	2	11	In vitro	Cells	0.00407547453297942
SORBS1	1_Human;5_Human	2	11	In vitro	Cells	0.00407547453297942
PLPBP	1_Human;5_Human;10_Human	3	11	In vitro	Cells	0.00556356977107465
PRSS23	1_Human	1	11	In vitro	Cells	0.00102669404517454
SNAPIN	1_Human	1	11	In vitro	Cells	0.00102669404517454
NDUFC2-KCTD14	1_Human	1	11	In vitro	Cells	0.00102669404517454
NDUFC2	1_Human	1	11	In vitro	Cells	0.00102669404517454
FKBP9P1	1_Human;7_Human	2	11	In vitro	Cells	0.00464988245097164
FKBP9	1_Human;7_Human	2	11	In vitro	Cells	0.00464988245097164
PGLS	1_Human	1	11	In vitro	Cells	0.00102669404517454
SMC2	1_Human;8_Human;10_Human	3	11	In vitro	Cells	0.00422711805039306
H6PD	1_Human;4_Human	2	11	In vitro	Cells	0.00417134813322485
RAB3D	1_Human	1	11	In vitro	Cells	0.00102669404517454
SNAP29	1_Human	1	11	In vitro	Cells	0.00102669404517454
GGPS1	1_Human	1	11	In vitro	Cells	0.00102669404517454
TBCE	1_Human	1	11	In vitro	Cells	0.00102669404517454
BAG3	1_Human	1	11	In vitro	Cells	0.00102669404517454
GNA14	1_Human;8_Human	2	11	In vitro	Cells	0.00273902281229783
FADS2	1_Human	1	11	In vitro	Cells	0.00102669404517454
C6orf47	1_Human	1	11	In vitro	Cells	0.00102669404517454
RECK	1_Human	1	11	In vitro	Cells	0.00102669404517454
BCL10	1_Human	1	11	In vitro	Cells	0.00102669404517454
CLPTM1	1_Human;4_Human;8_Human	3	11	In vitro	Cells	0.00588367690034814
PEX11B	1_Human	1	11	In vitro	Cells	0.00102669404517454
CYB5A	1_Human;4_Human	2	11	In vitro	Cells	0.00417134813322485
ADH4	1_Human;5_Human	2	11	In vitro	Cells	0.00407547453297942
ADH1B	1_Human;5_Human	2	11	In vitro	Cells	0.00407547453297942
ADH1C	1_Human;5_Human	2	11	In vitro	Cells	0.00407547453297942
MT-CO2	1_Human	1	11	In vitro	Cells	0.00102669404517454
MT-CO3	1_Human	1	11	In vitro	Cells	0.00102669404517454
PGK1	1_Human	1	11	In vitro	Cells	0.00102669404517454
F2	1_Human;10_Human	2	11	In vitro	Cells	0.00251478928326978
TIMP1	1_Human;5_Human;10_Human	3	11	In vitro	Cells	0.00556356977107465
CST3	1_Human;10_Human	2	11	In vitro	Cells	0.00251478928326978
HLA-H	1_Human	1	11	In vitro	Cells	0.00102669404517454
COL1A1	1_Human;8_Human;9_Human	3	11	In vitro	Cells	0.0860723561456311
COL3A1	1_Human;5_Human	2	11	In vitro	Cells	0.00407547453297942
APOE	1_Human;10_Human	2	11	In vitro	Cells	0.00251478928326978
TFRC	1_Human	1	11	In vitro	Cells	0.00102669404517454
TF	1_Human;10_Human	2	11	In vitro	Cells	0.00251478928326978
VTN	1_Human;10_Human	2	11	In vitro	Cells	0.00251478928326978
CSTB	1_Human;2_Human;4_Human	3	11	In vitro	Cells	0.0113655927375414
APOB	1_Human;7_Human;10_Human	3	11	In vitro	Cells	0.00613797768906688
SOD2	1_Human;8_Human;10_Human	3	11	In vitro	Cells	0.00422711805039306
OAT	1_Human;7_Human;8_Human	3	11	In vitro	Cells	0.00636221121809493
TYMS	1_Human	1	11	In vitro	Cells	0.00102669404517454
APP	1_Human;8_Human;10_Human	3	11	In vitro	Cells	0.00422711805039306
S100A8	1_Human	1	11	In vitro	Cells	0.00102669404517454
ALPL	1_Human	1	11	In vitro	Cells	0.00102669404517454
HMGN2	1_Human;11_Human	2	11	In vitro	Cells	0.00533703887276074
ICAM1	1_Human	1	11	In vitro	Cells	0.00102669404517454
SSB	1_Human;2_Human;5_Human;10_Human	4	11	In vitro	Cells	0.0127578143753912
COL5A2	1_Human;2_Human;5_Human;7_Human	4	11	In vitro	Cells	0.0148929075430931
GSN	1_Human;4_Human;8_Human	3	11	In vitro	Cells	0.00588367690034814
DBI	1_Human;3_Human	2	11	In vitro	Cells	0.0138472068656874
H1-0	1_Human	1	11	In vitro	Cells	0.00102669404517454
ANXA2	1_Human;4_Human;8_Human;9_Human;10_Human;11_Human	6	11	In vitro	Cells	0.0950154502993629
ANXA2P2	1_Human;4_Human;8_Human	3	11	In vitro	Cells	0.00588367690034814
PSAP	1_Human	1	11	In vitro	Cells	0.00102669404517454
BPGM	1_Human;5_Human;6_Human	3	11	In vitro	Cells	0.00948087993838482
CTSB	1_Human;4_Human	2	11	In vitro	Cells	0.00417134813322485
CLTB	1_Human	1	11	In vitro	Cells	0.00102669404517454
GUSB	1_Human;5_Human	2	11	In vitro	Cells	0.00407547453297942
HSP90AB1	1_Human;7_Human;10_Human	3	11	In vitro	Cells	0.00613797768906688
ASNS	1_Human;10_Human	2	11	In vitro	Cells	0.00251478928326978
MMP2	1_Human;3_Human;5_Human;8_Human	4	11	In vitro	Cells	0.0186083161206155
MME	1_Human	1	11	In vitro	Cells	0.00102669404517454
COL4A2	1_Human;5_Human	2	11	In vitro	Cells	0.00407547453297942
CYC1	1_Human	1	11	In vitro	Cells	0.00102669404517454
SNRPB2	1_Human	1	11	In vitro	Cells	0.00102669404517454
GNAI3	1_Human	1	11	In vitro	Cells	0.00102669404517454
SNRPA	1_Human;10_Human	2	11	In vitro	Cells	0.00251478928326978
SRP19	1_Human;6_Human;10_Human	3	11	In vitro	Cells	0.00792019468867518
SPARC	1_Human;10_Human;11_Human	3	11	In vitro	Cells	0.00682513411085598
ANXA4	1_Human;8_Human;10_Human	3	11	In vitro	Cells	0.00422711805039306
HNRNPA1L3	1_Human	1	11	In vitro	Cells	0.00102669404517454
HNRNPA1	1_Human;7_Human;11_Human	3	11	In vitro	Cells	0.00896022727855785
SNRPA1	1_Human	1	11	In vitro	Cells	0.00102669404517454
COX6C	1_Human	1	11	In vitro	Cells	0.00102669404517454
C4A	1_Human;10_Human	2	11	In vitro	Cells	0.00251478928326978
TUBA3C	1_Human;4_Human	2	11	In vitro	Cells	0.00417134813322485
TUBA1A	1_Human;4_Human;7_Human	3	11	In vitro	Cells	0.00779453653902195
TUBA3E	1_Human;4_Human;7_Human	3	11	In vitro	Cells	0.00779453653902195
TUBA3D	1_Human;4_Human	2	11	In vitro	Cells	0.00417134813322485
COX5B	1_Human;11_Human	2	11	In vitro	Cells	0.00533703887276074
MGST1	1_Human;6_Human;8_Human	3	11	In vitro	Cells	0.00814442821770323
PYGB	1_Human;2_Human;4_Human;5_Human	4	11	In vitro	Cells	0.0144143732253463
LAMP1	1_Human;6_Human	2	11	In vitro	Cells	0.00643209945057994
UBL4A	1_Human	1	11	In vitro	Cells	0.00102669404517454
PCNA	1_Human;7_Human	2	11	In vitro	Cells	0.00464988245097164
COL6A1	1_Human;8_Human	2	11	In vitro	Cells	0.00273902281229783
COL6A2	1_Human	1	11	In vitro	Cells	0.00102669404517454
LAMP2	1_Human;2_Human	2	11	In vitro	Cells	0.00822093864949108
VCAN	1_Human;10_Human	2	11	In vitro	Cells	0.00251478928326978
EEF2	1_Human;4_Human;7_Human	3	11	In vitro	Cells	0.00779453653902195
P4HA1	1_Human;3_Human	2	11	In vitro	Cells	0.0138472068656874
TPT1	1_Human;2_Human	2	11	In vitro	Cells	0.00822093864949108
ALAD	1_Human	1	11	In vitro	Cells	0.00102669404517454
F3	1_Human	1	11	In vitro	Cells	0.00102669404517454
HLA-E	1_Human	1	11	In vitro	Cells	0.00102669404517454
HLA-G	1_Human	1	11	In vitro	Cells	0.00102669404517454
GYS1	1_Human;10_Human	2	11	In vitro	Cells	0.00251478928326978
MTHFD2	1_Human	1	11	In vitro	Cells	0.00102669404517454
MIF	1_Human;11_Human	2	11	In vitro	Cells	0.00533703887276074
CD99	1_Human;11_Human	2	11	In vitro	Cells	0.00533703887276074
CPM	1_Human	1	11	In vitro	Cells	0.00102669404517454
AKR1A1	1_Human;4_Human	2	11	In vitro	Cells	0.00417134813322485
COX6B1	1_Human	1	11	In vitro	Cells	0.00102669404517454
JUP	1_Human	1	11	In vitro	Cells	0.00102669404517454
UQCRB	1_Human	1	11	In vitro	Cells	0.00102669404517454
GLUL	1_Human;5_Human;8_Human;10_Human	4	11	In vitro	Cells	0.00727589853819794
ANPEP	1_Human;11_Human	2	11	In vitro	Cells	0.00533703887276074
B4GALT1	1_Human	1	11	In vitro	Cells	0.00102669404517454
EZR	1_Human	1	11	In vitro	Cells	0.00102669404517454
RDX	1_Human	1	11	In vitro	Cells	0.00102669404517454
NQO1	1_Human;2_Human;5_Human	3	11	In vitro	Cells	0.011269719137296
GNS	1_Human;11_Human	2	11	In vitro	Cells	0.00533703887276074
RPS2	1_Human;4_Human;7_Human;11_Human	4	11	In vitro	Cells	0.0121048813666082
COX7C	1_Human	1	11	In vitro	Cells	0.00102669404517454
CD44	1_Human;4_Human;5_Human;11_Human	4	11	In vitro	Cells	0.0115304734486159
PDGFRA	1_Human	1	11	In vitro	Cells	0.00102669404517454
GLB1	1_Human	1	11	In vitro	Cells	0.00102669404517454
H1-3	1_Human;10_Human	2	11	In vitro	Cells	0.00251478928326978
TMEM11	1_Human	1	11	In vitro	Cells	0.00102669404517454
GJA1	1_Human	1	11	In vitro	Cells	0.00102669404517454
SMPD1	1_Human	1	11	In vitro	Cells	0.00102669404517454
ENG	1_Human;5_Human	2	11	In vitro	Cells	0.00407547453297942
DDX5	1_Human	1	11	In vitro	Cells	0.00102669404517454
LGALS3	1_Human;3_Human;11_Human	3	11	In vitro	Cells	0.0181575516932736
ITGB5	1_Human	1	11	In vitro	Cells	0.00102669404517454
VCL	1_Human;2_Human;4_Human;5_Human	4	11	In vitro	Cells	0.0144143732253463
NCL	1_Human;7_Human;10_Human	3	11	In vitro	Cells	0.00613797768906688
FST	1_Human	1	11	In vitro	Cells	0.00102669404517454
TYMP	1_Human;5_Human	2	11	In vitro	Cells	0.00407547453297942
ATP2B1	1_Human	1	11	In vitro	Cells	0.00102669404517454
ANXA7	1_Human;4_Human;9_Human;10_Human	4	11	In vitro	Cells	0.0889927767046534
RAB3A	1_Human	1	11	In vitro	Cells	0.00102669404517454
RAB3B	1_Human;4_Human;10_Human	3	11	In vitro	Cells	0.00565944337132009
COL5A1	1_Human;3_Human;5_Human	3	11	In vitro	Cells	0.0168959873534922
MAOA	1_Human;6_Human	2	11	In vitro	Cells	0.00643209945057994
SDHB	1_Human;8_Human	2	11	In vitro	Cells	0.00273902281229783
MMUT	1_Human	1	11	In vitro	Cells	0.00102669404517454
HNRNPA2B1	1_Human;2_Human	2	11	In vitro	Cells	0.00822093864949108
FBLN1	1_Human;5_Human;8_Human;10_Human	4	11	In vitro	Cells	0.00727589853819794
PPIB	1_Human;10_Human	2	11	In vitro	Cells	0.00251478928326978
WARS1	1_Human;5_Human	2	11	In vitro	Cells	0.00407547453297942
SP100	1_Human	1	11	In vitro	Cells	0.00102669404517454
CFL1	1_Human;7_Human	2	11	In vitro	Cells	0.00464988245097164
RRM1	1_Human	1	11	In vitro	Cells	0.00102669404517454
COX7A1	1_Human	1	11	In vitro	Cells	0.00102669404517454
CCND1	1_Human	1	11	In vitro	Cells	0.00102669404517454
KDELR1	1_Human	1	11	In vitro	Cells	0.00102669404517454
MPST	1_Human;8_Human	2	11	In vitro	Cells	0.00273902281229783
FAS	1_Human	1	11	In vitro	Cells	0.00102669404517454
PTX3	1_Human;5_Human;8_Human;10_Human	4	11	In vitro	Cells	0.00727589853819794
DDX6	1_Human;8_Human	2	11	In vitro	Cells	0.00273902281229783
STOM	1_Human;4_Human;10_Human	3	11	In vitro	Cells	0.00565944337132009
AK4	1_Human	1	11	In vitro	Cells	0.00102669404517454
MAOB	1_Human	1	11	In vitro	Cells	0.00102669404517454
COL8A1	1_Human;3_Human;5_Human;10_Human	4	11	In vitro	Cells	0.0183840825915875
CD82	1_Human;8_Human	2	11	In vitro	Cells	0.00273902281229783
PSMB8	1_Human	1	11	In vitro	Cells	0.00102669404517454
LOX	1_Human;5_Human	2	11	In vitro	Cells	0.00407547453297942
GTF2E2	1_Human	1	11	In vitro	Cells	0.00102669404517454
MPG	1_Human	1	11	In vitro	Cells	0.00102669404517454
CRABP2	1_Human;8_Human	2	11	In vitro	Cells	0.00273902281229783
PML	1_Human	1	11	In vitro	Cells	0.00102669404517454
MARCKS	1_Human;8_Human	2	11	In vitro	Cells	0.00273902281229783
PRDX6	1_Human;7_Human	2	11	In vitro	Cells	0.00464988245097164
PRDX5	1_Human;4_Human;7_Human	3	11	In vitro	Cells	0.00779453653902195
DDTL	1_Human	1	11	In vitro	Cells	0.00102669404517454
DDT	1_Human;10_Human	2	11	In vitro	Cells	0.00251478928326978
PRDX3	1_Human;4_Human;8_Human	3	11	In vitro	Cells	0.00588367690034814
PPP2R1B	1_Human;2_Human	2	11	In vitro	Cells	0.00822093864949108
PPP2R1A	1_Human;2_Human	2	11	In vitro	Cells	0.00822093864949108
MERTK	1_Human	1	11	In vitro	Cells	0.00102669404517454
AXL	1_Human;10_Human	2	11	In vitro	Cells	0.00251478928326978
SLC7A1	1_Human	1	11	In vitro	Cells	0.00102669404517454
SLC6A6	1_Human	1	11	In vitro	Cells	0.00102669404517454
DNAJA1	1_Human;10_Human	2	11	In vitro	Cells	0.00251478928326978
HIBADH	1_Human	1	11	In vitro	Cells	0.00102669404517454
S100A11	1_Human;10_Human;11_Human	3	11	In vitro	Cells	0.00682513411085598
DUT	1_Human	1	11	In vitro	Cells	0.00102669404517454
ABCD1	1_Human	1	11	In vitro	Cells	0.00102669404517454
MCM7	1_Human	1	11	In vitro	Cells	0.00102669404517454
GPC1	1_Human;10_Human	2	11	In vitro	Cells	0.00251478928326978
PHB1	1_Human;3_Human;8_Human;11_Human	4	11	In vitro	Cells	0.0198698804603969
FBN1	1_Human;3_Human;5_Human	3	11	In vitro	Cells	0.0168959873534922
FBN2	1_Human	1	11	In vitro	Cells	0.00102669404517454
TIMP3	1_Human;3_Human;5_Human	3	11	In vitro	Cells	0.0168959873534922
FUS	1_Human;7_Human	2	11	In vitro	Cells	0.00464988245097164
HMGCLL1	1_Human	1	11	In vitro	Cells	0.00102669404517454
HMGCL	1_Human	1	11	In vitro	Cells	0.00102669404517454
GJC1	1_Human	1	11	In vitro	Cells	0.00102669404517454
